"arabic","brazilian","bulgarian","czech","danish","dutch","english","finnish","french","german","greek","hungarian","italian","japanese","koreana","latam","norwegian","polish","portuguese","romanian","russian","schinese","spanish","swedish","tchinese","thai","turkish","ukrainian","vietnamese"
"الألغام على لوحة اللعبة غير قابلة للتنبؤ منطقيًا الآن، دعونا نقوم بتخمين عشوائي ونضغط بالزر الأيمن على كتلة.","Minas no tabuleiro de jogo são logicamente imprevisíveis agora, vamos fazer um palpite aleatório e clicar com o botão direito em um bloco.","Мините на игралното поле вече са логически непредсказуеми, нека направим случаен избор и кликнете с десния бутон върху блок.","Míny na herním poli jsou nyní logicky nepředvídatelné, pojďme udělat náhodný tip a klikněte pravým tlačítkem na blok.","Miner på spillebrættet er logisk uforudsigelige nu, lad os lave en tilfældig gætning og højreklik på en blok.","Mijnen op het spelbord zijn nu logisch onvoorspelbaar, laten we een willekeurige gok maken en met de rechtermuisknop op een blok klikken.","Mines on game board are logically unpredictable now, let's make random guess and right-click a block.","Miinat pelilaudalla ovat nyt loogisesti arvaamattomia, tehdään satunnainen arvaus ja klikataan palikkaa oikealla.","Les mines sur le plateau de jeu sont maintenant logiquement imprévisibles, faisons une supposition aléatoire et cliquez avec le bouton droit sur un bloc.","Die Minen auf dem Spielbrett sind jetzt logisch unvorhersehbar, machen wir eine zufällige Vermutung und rechtsklicken auf einen Block.","Οι νάρκες στον πίνακα παιχνιδιού είναι λογικά απρόβλεπτες τώρα, ας κάνουμε τυχαία εικασία και δεξί κλικ σε ένα μπλοκ.","A játéktáblán lévő aknák most logikailag kiszámíthatatlanok, tehát végezzünk véletlenszerű tippet és kattints jobbra egy blokkra.","Le mine sul tabellone di gioco sono ora logicamente imprevedibili, facciamo una supposizione casuale e clicchiamo con il tasto destro su un blocco.","ゲームボード上の地雷は現在、論理的に予測できません。ランダムに推測してブロックを右クリックしましょう。","지금 게임 보드상의 지뢰는 논리적으로 예측할 수 없습니다, 무작위로 추측하고 블록을 오른쪽 클릭합시다.","Las minas en el tablero de juego son lógicamente impredecibles ahora, hagamos una suposición al azar y hagamos clic derecho en un bloque.","Miner på spillbrettet er logisk uforutsigbare nå, la oss gjøre en tilfeldig gjetning og høyreklikke på en blokk.","Miny na planszy do gry są teraz logicznie nieprzewidywalne, zróbmy losowe zgadywanie i kliknij prawym przyciskiem myszy na blok.","Minas no tabuleiro de jogo são logicamente imprevisíveis agora, vamos fazer uma suposição aleatória e clicar com o botão direito em um bloco.","Minele de pe tablă de joc sunt acum logic imprevizibile, să facem o presupunere aleatoare și să click dreapta pe un bloc.","Мины на игровом поле сейчас логически непредсказуемы, давайте сделаем случайное предположение и кликнем правой кнопкой мыши по блоку.","游戏面板上的地雷现在逻辑上不可预测，让我们做一个随机猜测并右键点击一个方块。","Las minas en el tablero de juego son lógicamente impredecibles ahora, hagamos una suposición aleatoria y hagamos clic derecho en un bloque.","Minor på spelbrädet är logiskt oförutsägbara nu, låt oss göra en slumpmässig gissning och högerklicka på en ruta.","遊戲版上的地雷現在在邏輯上不可預測，讓我們做一個隨機猜測並右鍵點擊一個方塊。","ที่ระเบิดบนกระดานเกมไม่สามารถคาดเดาได้ตามหลักเหตุผลในขณะนี้ ลองเดาสุ่มและคลิกขวาที่บล็อก","Oyun tahtasındaki mayınlar şu anda mantıksal olarak öngörülemez, rastgele bir tahminde bulunalım ve bir bloğa sağ tıklayalım.","Міни на ігровому полі зараз логічно непередбачувані, давайте зробимо випадкове припущення і клацнемо правою кнопкою миші по блоку.","Mìn trên bàn cờ giờ đây không thể dự đoán theo logic, hãy thử đoán ngẫu nhiên và nhấp chuột phải vào một ô."
"اضغط على الرقم 2 لفتح الكتل المتبقية.","clique no número 2 para abrir os blocos restantes.","кликнете върху номер 2, за да отворите останалите блокове.","klikněte na číslo 2 k otevření zbývajících bloků.","klik på nummer 2 for at åbne de resterende blokke.","klik op nummer 2 om de resterende blokken te openen.","click number 2 to open remain blocks.","klikkaa numeroa 2 avataksesi jäljellä olevat palikat.","cliquez sur le numéro 2 pour ouvrir les blocs restants.","klicke auf die Zahl 2, um die verbleibenden Blöcke zu öffnen.","κάντε κλικ στον αριθμό 2 για να ανοίξετε τα υπόλοιπα μπλοκ.","kattints a 2-es számra a maradék blokkok megnyitásához.","clicca sul numero 2 per aprire i blocchi rimanenti.","数字2をクリックして残りのブロックを開きます。","번호 2를 클릭하여 남은 블록을 엽니다.","haz clic en el número 2 para abrir los bloques restantes.","klikk på nummer 2 for å åpne de gjenværende blokkene.","kliknij numer 2, aby otworzyć pozostałe bloki.","clique no número 2 para abrir os blocos restantes.","click pe numărul 2 pentru a deschide blocurile rămase.","кликните на число 2, чтобы открыть оставшиеся блоки.","点击数字2打开剩余方块。","haz clic en el número 2 para abrir los bloques restantes.","klicka på nummer 2 för att öppna de återstående rutorna.","點擊數字2打開剩餘方塊。","คลิกที่เลข 2 เพื่อเปิดบล็อกที่เหลือ","kalan blokları açmak için numara 2'ye tıklayın.","клацніть на число 2, щоб відкрити залишені блоки.","nhấp vào số 2 để mở các ô còn lại."
"أوه... بسبب التخمين الخاطئ، تم إضافة خطين في الأعلى، وتم تمييز الألغام بالأعلام، وفتحت الكتل المتبقية. اضغط على الرقم 1 لفتح الكتل المتبقية.","Ops... Devido a um palpite errado, 2 linhas são adicionadas no topo, e minas são marcadas, e os blocos restantes são abertos. Clique no número 1 para abrir os blocos restantes.","Опа... Поради грешен избор се добавят 2 реда отгоре, мините се маркират с флагове, а останалите блокове се отварят. Кликнете върху номер 1, за да отворите останалите блокове.","Jejda... Kvůli špatnému tipu jsou přidány 2 řádky nahoře, míny jsou označeny vlajkami a zbývající bloky jsou otevřeny. Klikněte na číslo 1 k otevření zbývajících bloků.","Ups... På grund af forkert gætning tilføjes 2 linjer øverst, og miner markeres med flag, og de resterende blokke åbnes. Klik på nummer 1 for at åbne de resterende blokke.","Oeps... Door verkeerde gok worden 2 lijnen bovenaan toegevoegd, en mijnen zijn gemarkeerd, en de resterende blokken worden geopend. Klik op nummer 1 om de resterende blokken te openen.","Oops... Due to wrong guess, 2 lines are added at top, and mines are flagged, and remain blocks are opened. Click number 1 to open remain blocks.","Hups... Väärän arvauksen vuoksi yläosaan lisätään kaksi riviä, ja miinat merkitään lipuilla, ja jäljellä olevat palikat avataan. Klikkaa numeroa 1 avataksesi jäljellä olevat palikat.","Oups... À cause d'une mauvaise supposition, 2 lignes sont ajoutées en haut, et les mines sont marquées, et les blocs restants sont ouverts. Cliquez sur le numéro 1 pour ouvrir les blocs restants.","Hoppla... Durch eine falsche Vermutung werden oben 2 Zeilen hinzugefügt, Minen werden mit Flaggen markiert und die verbleibenden Blöcke geöffnet. Klicke auf die Zahl 1, um die verbleibenden Blöcke zu öffnen.","Ωχ... Λόγω λανθασμένης εικασίας, προστίθενται 2 γραμμές στην κορυφή, και οι νάρκες σημασμένες, και τα υπόλοιπα μπλοκ ανοίγουν. Κάντε κλικ στον αριθμό 1 για να ανοίξετε τα υπόλοιπα μπλοκ.","Hoppá... Rossz tipp miatt 2 sor kerül hozzáadásra a tetejéhez, az aknák zászlóval vannak megjelölve, és a maradék blokkok megnyílnak. Kattints az 1-es számra a maradék blokkok megnyitásához.","Ops... A causa di un'ipotesi sbagliata, vengono aggiunte 2 linee in alto, e le mine sono contrassegnate e i blocchi rimanenti vengono aperti. Clicca sul numero 1 per aprire i blocchi rimanenti.","おっと...間違った推測のため、上部に2行が追加され、地雷は旗印でマークされ、残りのブロックが開きます。数字1をクリックして残りのブロックを開きます。","이런... 잘못된 추측으로 인해 상단에 2줄이 추가되고, 지뢰는 깃발로 표시되며 남은 블록이 열립니다. 번호 1을 클릭하여 남은 블록을 엽니다.","Ups... Debido a una suposición incorrecta, se agregan 2 líneas en la parte superior, las minas están marcadas y se abren los bloques restantes. Haz clic en el número 1 para abrir los bloques restantes.","Oops... På grunn av feil gjetning, legges 2 linjer til på toppen, og miner er flagget, og de gjenværende blokkene åpnes. Klikk på nummer 1 for å åpne de gjenværende blokkene.","Ojej... Z powodu złego zgadnięcia dodane zostają 2 linie na górze, a miny są oznaczone flagami, i pozostałe bloki są otwierane. Kliknij numer 1, aby otworzyć pozostałe bloki.","Ops... Devido a um palpite errado, 2 linhas são adicionadas no topo, e minas são marcadas, e os blocos restantes são abertos. Clique no número 1 para abrir os blocos restantes.","Ups... Din cauza unei ghiciri greșite, 2 linii sunt adăugate în partea de sus, și minele sunt marcate, și blocurile rămase sunt deschise. Click pe numărul 1 pentru a deschide blocurile rămase.","Ой... Из-за неправильного предположения, сверху добавляются 2 строки, мины помечаются флагами, и оставшиеся блоки открываются. Кликните на число 1, чтобы открыть оставшиеся блоки.","哎呀...由于错误的猜测，顶部添加了2行，并且地雷被标记，剩余的方块被打开。点击数字1打开剩余方块。","Ups... Debido a una suposición incorrecta, se agregan 2 líneas en la parte superior, y las minas están marcadas, y se abren los bloques restantes. Haz clic en el número 1 para abrir los bloques restantes.","Oj... På grund av fel gissning, läggs 2 rader till i toppen, och minor är flaggade, och de återstående rutorna öppnas. Klicka på nummer 1 för att öppna de återstående rutorna.","哎呀...由於錯誤的猜測，頂部添加了2行，並且地雷被標記，剩餘的方塊被打開。點擊數字1打開剩餘方塊。","อุ๊ย... จากการเดาผิด มีการเพิ่ม 2 แถวที่ด้านบน และที่ระเบิดถูกทำเครื่องหมาย และบล็อกที่เหลือถูกเปิด คลิกที่เลข 1 เพื่อเปิดบล็อกที่เหลือ","Oops... Yanlış tahmin nedeniyle, üstte 2 satır eklenir, mayınlar bayraklanır ve kalan bloklar açılır. Kalan blokları açmak için numara 1'e tıklayın.","Ой... Через неправильне припущення, у верхній частині додаються 2 рядки, міни позначаються, і залишені блоки відкриваються. Клацніть на число 1, щоб відкрити залишені блоки.","Ối... Do đoán sai, 2 dòng được thêm vào phía trên, và mìn được đánh dấu, các ô còn lại được mở. Nhấp vào số 1 để mở các ô còn lại."
"اضغط على الرقم 1 لفتح الكتلتين المتبقيتين.","Clique no número 1 para abrir os 2 blocos restantes.","Кликнете върху номер 1, за да отворите останалите 2 блока.","Klikněte na číslo 1 k otevření zbývajících 2 bloků.","Klik på nummer 1 for at åbne de resterende 2 blokke.","Klik op nummer 1 om de resterende 2 blokken te openen.","Click number 1 to open remain 2 blocks.","Klikkaa numeroa 1 avataksesi jäljellä olevat kaksi palikkaa.","Cliquez sur le numéro 1 pour ouvrir les 2 blocs restants.","Klicke auf die Zahl 1, um die verbleibenden 2 Blöcke zu öffnen.","Κάντε κλικ στον αριθμό 1 για να ανοίξετε τα υπόλοιπα 2 μπλοκ.","Kattints az 1-es számra a maradék 2 blokk megnyitásához.","Clicca sul numero 1 per aprire i 2 blocchi rimanenti.","数字1をクリックして残りの2つのブロックを開きます。","번호 1을 클릭하여 남은 2개의 블록을 엽니다.","Haz clic en el número 1 para abrir los 2 bloques restantes.","Klikk på nummer 1 for å åpne de gjenværende 2 blokkene.","Kliknij numer 1, aby otworzyć pozostałe 2 bloki.","Clique no número 1 para abrir os 2 blocos restantes.","Click pe numărul 1 pentru a deschide ultimele 2 blocuri.","Кликните на число 1, чтобы открыть оставшиеся 2 блока.","点击数字1打开剩余的2个方块。","Haz clic en el número 1 para abrir los 2 bloques restantes.","Klicka på nummer 1 för att öppna de återstående 2 rutorna.","點擊數字1打開剩餘的2個方塊。","คลิกที่เลข 1 เพื่อเปิด 2 บล็อกที่เหลือ","Kalan 2 bloğu açmak için numara 1'e tıklayın.","Клацніть на число 1, щоб відкрити 2 залишених блоки.","Nhấp vào số 1 để mở 2 ô còn lại."
"تم فتح جميع الكتل في الخطين السفليين، تم مسح خطين ومُنح نقطتين. الدرجة العالية، المستوى العالي، اللعبة الصعبة.","Todos os blocos nas 2 linhas inferiores são abertos, 2 linhas são limpas e 2 pontos são concedidos. Pontuação alta, nível alto, jogo difícil.","Всички блокове в долните 2 реда са отворени, 2 реда са изчистени и са присъдени 2 точки. Висок резултат, високо ниво, трудна игра.","Všechny bloky ve spodních 2 řádcích jsou otevřeny, 2 řádky jsou vyčištěny a jsou uděleny 2 body. Vysoké skóre, vysoká úroveň, těžká hra.","Alle blokke i de nederste 2 linjer er åbnet, 2 linjer er ryddet, og 2 point er tildelt. Høj score, højt niveau, svært spil.","Alle blokken in de onderste 2 lijnen zijn geopend, 2 lijnen worden gewist en 2 punten worden toegekend. Hoge score, hoog niveau, moeilijk spel.","All blocks in bottom 2 lines are opened, 2 lines are cleard and 2 points are awarded. High score, high level, hard game.","Kaikki alimman kahden rivin palikat avataan, kaksi riviä tyhjennetään ja kaksi pistettä myönnetään. Korkea piste, korkea taso, vaikea peli.","Tous les blocs des 2 lignes inférieures sont ouverts, 2 lignes sont effacées et 2 points sont attribués. Score élevé, niveau élevé, jeu difficile.","Alle Blöcke in den unteren 2 Zeilen sind geöffnet, 2 Zeilen werden gelöscht und 2 Punkte werden vergeben. Hohe Punktzahl, hohes Niveau, schweres Spiel.","Όλα τα μπλοκ στις κάτω 2 γραμμές ανοίγουν, 2 γραμμές καθαρίζονται και απονέμονται 2 πόντοι. Υψηλό σκορ, υψηλό επίπεδο, δύσκολο παιχνίδι.","Az alsó 2 sor összes blokkja megnyílik, 2 sor tisztul és 2 pontot adunk. Magas pontszám, magas szint, nehéz játék.","Tutti i blocchi nelle ultime 2 linee sono aperti, 2 linee vengono cancellate e vengono assegnati 2 punti. Punteggio alto, livello alto, gioco difficile.","下部の2行のすべてのブロックが開き、2行がクリアされ、2ポイントが授与されます。高スコア、高レベル、難しいゲーム。","아래쪽 2줄의 모든 블록이 열리고, 2줄이 지워지며 2점이 주어집니다. 높은 점수, 높은 레벨, 어려운 게임.","Todos los bloques en las 2 líneas inferiores están abiertos, se limpian 2 líneas y se otorgan 2 puntos. Alta puntuación, alto nivel, juego difícil.","Alle blokker i de nederste 2 linjene er åpnet, 2 linjer er ryddet og 2 poeng er tildelt. Høy score, høyt nivå, vanskelig spill.","Wszystkie bloki w dolnych 2 liniach są otwarte, 2 linie są czyszczone i przyznawane są 2 punkty. Wysoki wynik, wysoki poziom, trudna gra.","Todos os blocos nas 2 linhas inferiores são abertos, 2 linhas são limpas e 2 pontos são concedidos. Pontuação alta, nível alto, jogo difícil.","Toate blocurile din ultimele 2 linii sunt deschise, 2 linii sunt curățate și sunt acordate 2 puncte. Scor mare, nivel înalt, joc dificil.","Все блоки в нижних 2 строках открыты, 2 строки очищены и 2 очка присуждены. Высокий счёт, высокий уровень, сложная игра.","底部2行的所有方块都被打开，2行被清除并获得2分。高分，高等级，困难游戏。","Todos los bloques en las 2 líneas inferiores están abiertos, se limpian 2 líneas y se otorgan 2 puntos. Puntuación alta, nivel alto, juego difícil.","Alla rutor i de nedre 2 raderna öppnas, 2 rader rensas och 2 poäng tilldelas. Högt poäng, hög nivå, svårt spel.","底部2行的所有方塊都被打開，2行被清除並獲得2分。高分，高級別，困難遊戲。","บล็อกทั้งหมดใน 2 แถวด้านล่างถูกเปิด 2 แถวถูกล้างและได้รับ 2 คะแนน คะแนนสูง ระดับสูง เกมยาก","Alt 2 satırdaki tüm bloklar açılır, 2 satır temizlenir ve 2 puan verilir. Yüksek skor, yüksek seviye, zor oyun.","Всі блоки у нижніх 2 рядках відкриті, 2 рядки очищені, і надано 2 бали. Високий рахунок, високий рівень, важка гра.","Tất cả các ô trong 2 dòng dưới cùng được mở, 2 dòng được làm sạch và 2 điểm được trao. Điểm cao, cấp độ cao, trò chơi khó."
"تتولد الكتل الجديدة بمرور الوقت، سرعتها تعتمد على المستوى. يتم حظر الخط العلوي حتى يتم توليده بالكامل. إذا لم يمكن توليد كتلة، اللعبة تنتهي.","Novos blocos são gerados ao longo do tempo, sua velocidade é baseada no nível. A linha superior está bloqueada até ser totalmente gerada. Fim do jogo se nenhum bloco puder ser gerado.","Новите блокове се генерират с течение на времето, скоростта им се основава на нивото. Горният ред е блокиран, докато не бъде напълно генериран. Играта приключва, ако не може да се генерира блок.","Nové bloky se generují v průběhu času, jejich rychlost závisí na úrovni. Horní řádek je zablokován, dokud není plně vygenerován. Hra končí, pokud nemůže být vygenerován žádný blok.","Nye blokke genereres over tid, deres hastighed er baseret på niveau. Øverste linje er blokeret, indtil den er fuldt genereret. Spillet er over, hvis ingen blok kan genereres.","Nieuwe blokken worden gegenereerd na verloop van tijd, de snelheid is gebaseerd op het niveau. Bovenste lijn is geblokkeerd tot volledig gegenereerd. Spel over als geen blok kan worden gegenereerd.","New blocks are generated over time, its speed based on level. Top line is blocked until fully generated. Game over if no block can be generated.","Uusia palikoita syntyy ajan myötä, niiden nopeus perustuu tasoon. Ylin rivi on estetty, kunnes se on täysin muodostunut. Peli päättyy, jos palikoita ei voida muodostaa.","De nouveaux blocs sont générés avec le temps, leur vitesse est basée sur le niveau. La ligne supérieure est bloquée jusqu'à ce qu'elle soit entièrement générée. Fin du jeu si aucun bloc ne peut être généré.","Neue Blöcke werden über die Zeit generiert, ihre Geschwindigkeit basiert auf dem Niveau. Die oberste Zeile ist blockiert, bis sie vollständig generiert ist. Das Spiel ist vorbei, wenn kein Block generiert werden kann.","Νέα μπλοκ δημιουργούνται με τον χρόνο, η ταχύτητά τους βασίζεται στο επίπεδο. Η κορυφαία γραμμή είναι μπλοκαρισμένη μέχρι να δημιουργηθεί πλήρως. Το παιχνίδι τελειώνει αν δεν μπορεί να δημιουργηθεί μπλοκ.","Az új blokkok idővel generálódnak, sebességük a szinttől függ. A felső sor blokkolva van, amíg teljesen meg nem generálódik. Vége a játéknak, ha nem lehet blokkot generálni.","I nuovi blocchi vengono generati nel tempo, la loro velocità si basa sul livello. La linea superiore è bloccata fino a quando non viene generata completamente. Fine del gioco se non può essere generato nessun blocco.","新しいブロックは時間とともに生成され、その速度はレベルに基づいています。上部のラインは完全に生成されるまでブロックされます。ブロックを生成できない場合はゲームオーバーです。","새로운 블록은 시간이 지남에 따라 생성되며, 그 속도는 레벨에 따라 결정됩니다. 상단 라인은 완전히 생성될 때까지 차단됩니다. 블록을 생성할 수 없으면 게임 오버입니다.","Los nuevos bloques se generan con el tiempo, su velocidad se basa en el nivel. La línea superior está bloqueada hasta que esté completamente generada. Fin del juego si no se puede generar un bloque.","Nye blokker genereres over tid, hastigheten er basert på nivået. Øverste linje er blokkert til den er fullstendig generert. Spillet er over hvis ingen blokk kan genereres.","Nowe bloki są generowane z czasem, ich prędkość jest oparta na poziomie. Górna linia jest zablokowana do momentu pełnego wygenerowania. Gra kończy się, gdy nie można wygenerować żadnego bloku.","Novos blocos são gerados ao longo do tempo, sua velocidade é baseada no nível. A linha superior está bloqueada até ser totalmente gerada. Fim do jogo se nenhum bloco puder ser gerado.","Noi blocuri sunt generate în timp, viteza lor bazată pe nivel. Linia de sus este blocată până când este complet generată. Jocul se termină dacă niciun bloc nu poate fi generat.","Новые блоки генерируются со временем, их скорость зависит от уровня. Верхняя строка заблокирована до полного создания. Игра заканчивается, если невозможно сгенерировать блок.","新的方块会随着时间生成，其速度基于等级。顶行被封锁直到完全生成。如果没有方块可以生成，游戏结束。","Los bloques nuevos se generan con el tiempo, su velocidad se basa en el nivel. La línea superior está bloqueada hasta que se genere por completo. Fin del juego si no se puede generar ningún bloque.","Nya rutor genereras över tid, deras hastighet baseras på nivån. Övre raden är blockerad tills den är helt genererad. Spelet är över om ingen ruta kan genereras.","新的方塊會隨著時間生成，其速度基於級別。頂行被封鎖直到完全生成。如果沒有方塊可以生成，遊戲結束。","บล็อกใหม่ถูกสร้างขึ้นเป็นระยะ ๆ ความเร็วขึ้นอยู่กับระดับ แถวบนถูกบล็อกจนกว่าจะถูกสร้างขึ้นอย่างสมบูรณ์ เกมจบลงหากไม่สามารถสร้างบล็อกได้","Yeni bloklar zamanla oluşturulur, hızları seviyeye göre belirlenir. Üst satır tamamen oluşturulana kadar engellenir. Blok oluşturulamazsa oyun biter.","Нові блоки генеруються з часом, їх швидкість залежить від рівня. Верхній рядок заблокований, доки він повністю не буде сформований. Гра закінчується, якщо блок не може бути сформований.","Các ô mới được tạo ra theo thời gian, tốc độ dựa trên cấp độ. Dòng trên cùng bị chặn cho đến khi được tạo ra hoàn toàn. Trò chơi kết thúc nếu không thể tạo ô."
"جميع الأوضاع","Todos os Modos","Всички режими","Všechny režimy","Alle tilstande","Alle Modus","All Mode","Kaikki Tavat","Tous les Modes","Alle Modi","Όλες οι Λειτουργίες","Minden Mód","Tutte le Modalità","すべてのモード","모든 모드","Todos los Modos","Alle Modus","Wszystkie Tryby","Todos os Modos","Toate Modurile","Все Режимы","所有模式","Todos los Modos","Alla Lägen","所有模式","ทุกโหมด","Tüm Modlar","Всі Режими","Tất cả Chế độ"
"بدون سحب","Sem Arrastar","Без влачене","Bez táhnutí","Ingen træk","Geen Sleep","No Drag","Ei Raahausta","Pas de Glisser","Kein Ziehen","Χωρίς Σύρση","Nincs Húzás","Nessun Trascinamento","ドラッグなし","드래그 없음","Sin Arrastre","Ingen Dra","Bez Przeciągania","Sem Arrastar","Fără Drag","Без Перетаскивания","无拖动","Sin Arrastre","Ingen Dragning","無拖動","ไม่มีการลาก","Sürükleme Yok","Без Перетягування","Không Kéo"
"بدون خطأ","Sem Erro","Без грешка","Bez chyby","Ingen fejl","Geen Fout","No Mistake","Ei Virhettä","Pas d'Erreur","Kein Fehler","Χωρίς Λάθος","Nincs Hiba","Nessun Errore","間違いなし","실수 없음","Sin Error","Ingen Feil","Bez Błędu","Sem Erro","Fără Greșeală","Без Ошибок","无错误","Sin Error","Inga Misstag","無錯誤","ไม่มีข้อผิดพลาด","Hata Yok","Без Помилок","Không Lỗi"
"عدد الـتتريس","Contagem de Tetris","Брояч на Тетрис","Počet Tetrisů","Tetris-tæller","Tetris Telling","Tetris Count","Tetriskerrat","Compte Tetris","Tetris-Zähler","Μέτρηση Τέτρις","Tetris Számláló","Conteggio Tetris","テトリス数","테트리스 횟수","Conteo de Tetris","Tetris Telling","Licznik Tetris","Contagem de Tetris","Numărătoare Tetris","Счётчик Тетриса","俄罗斯方块计数","Conteo de Tetris","Tetris-räkning","俄羅斯方塊計數","นับเทตริส","Tetris Sayımı","Рахунок Тетріса","Đếm Tetris"
"عدد الأخطاء","Contagem de Erros","Брояч на грешки","Počet chyb","Fejltæller","Fout Telling","Mistake Count","Virhekerrat","Compte des Erreurs","Fehler-Zähler","Μέτρηση Λαθών","Hibaszámláló","Conteggio Errori","間違い数","실수 횟수","Conteo de Errores","Feiltelling","Licznik Błędów","Contagem de Erros","Numărătoare Greșeli","Счётчик Ошибок","错误计数","Conteo de Errores","Misstag-räkning","錯誤計數","นับข้อผิดพลาด","Hata Sayımı","Рахунок Помилок","Đếm Lỗi"
"الخروج من الشرح؟","Sair do Tutorial?","Изход от урока?","Ukončit návod?","Afslut vejledning?","Tutorial Verlaten?","Exit Tutorial?","Poistu Ohjeesta?","Quitter le Tutoriel ?","Tutorial beenden?","Έξοδος από Εκπαίδευση;","Kilépés az Oktatóanyagból?","Esci dal Tutorial?","チュートリアルを終了しますか？","튜토리얼을 종료하시겠습니까?","¿Salir del Tutorial?","Avslutt Opplæring?","Wyjść z Samouczka?","Sair do Tutorial?","Ieși din Tutorial?","Выйти из Учебника?","退出教程？","¿Salir del Tutorial?","Avsluta handledning?","退出教程？","ออกจากการสอน?","Eğitimden Çık?","Вихід з Навчання?","Thoát Hướng dẫn?"
"نعم","Sim","Да","Ano","Ja","Ja","Yes","Kyllä","Oui","Ja","Ναι","Igen","Sì","はい","예","Sí","Ja","Tak","Sim","Da","Да","是","Sí","Ja","是","ใช่","Evet","Так","Có"
"لا","Não","Не","Ne","Nej","Nee","No","Ei","Non","Nein","Όχι","Nem","No","いいえ","아니요","No","Nei","Nie","Não","Nu","Нет","否","No","Nej","否","ไม่ใช่","Hayır","Ні","Không"
"اضغط بالزر الأيسر على الكتلة العادية: فتح الكتلة","Clique com o botão esquerdo em um bloco comum: abrir bloco","Ляв клик обикн. блок: отвори блок","Levý klik na běžný blok: otevřít blok","Venstreklik på almindelig blok: åben blok","Klik met de linkermuisknop op een gewoon blok: open blok","Left-click regular block: open block","Klikkaa vasemmalla tavallista palikkaa: avaa palikka","Clic gauche sur bloc ordinaire: ouvrir bloc","Linksklick auf normalen Block: Block öffnen","Αριστ. κλικ συνηθ. μπλοκ: άνοιγμα μπλοκ","Bal klikk normál blokk: blokkot nyit","Clic sinistro su blocco normale: apri blocco","通常のブロックを左クリック：ブロックを開く","정상 블록을 왼쪽 클릭: 블록 열기","Clic izq. en bloque normal: abrir bloque","Venstreklikk på en vanlig blokk: åpne blokk","Lewy klik na zwykły blok: otwórz blok","Clique esq. em bloco normal: abrir bloco","Click stânga pe un bloc obișnuit: deschide bloc","Левый клик по обычному блоку: открыть блок","左键点击普通方块：打开方块","Clic izq. en bloque normal: abrir bloque","Vänsterklicka på en vanlig ruta: öppna ruta","點擊左鍵普通方塊：打開方塊","คลิกซ้ายบล็อกปกติ: เปิดบล็อก","Normal bir bloğa sol tıklayın: bloğu açın","Лівий клік по звичайному блоку: відкрити блок","Nhấp chuột trái vào ô bình thường: mở ô"
"اضغط بالزر الأيسر على كتلة السؤال: فتح الكتلة","Clique com o botão esquerdo em um bloco de pergunta: abrir bloco","Ляв клик въпр. блок: отвори блок","Levý klik na otazníkový blok: otevřít blok","Venstreklik på spørgsmålsblok: åben blok","Klik met de linkermuisknop op een vraagblok: open blok","Left-click question block: open block","Klikkaa vasemmalla kysymyspalikkaa: avaa palikka","Clic gauche sur bloc question: ouvrir bloc","Linksklick auf Frageblock: Block öffnen","Αριστ. κλικ ερωτ. μπλοκ: άνοιγμα μπλοκ","Bal klikk kérdő blokk: blokkot nyit","Clic sinistro su blocco domanda: apri blocco","質問ブロックを左クリック：ブロックを開く","질문 블록을 왼쪽 클릭: 블록 열기","Clic izq. en bloque pregunta: abrir bloque","Venstreklikk på en spørsmålsblokk: åpne blokk","Lewy klik na blok pytania: otwórz blok","Clique esq. em bloco pergunta: abrir bloco","Click stânga pe un bloc cu întrebare: deschide bloc","Левый клик по блоку с вопросом: открыть блок","左键点击问号方块：打开方块","Clic izq. en bloque pregunta: abrir bloque","Vänsterklicka på en frågeruta: öppna ruta","點擊左鍵問題方塊：打開方塊","คลิกซ้ายบล็อกคำถาม: เปิดบล็อก","Soru işaretli bloğa sol tıklayın: bloğu açın","Лівий клік по блоку з питанням: відкрити блок","Nhấp chuột trái vào ô hỏi: mở ô"
